Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JenkinnsTest,Chrome 67.0.3396.99,,2018-07-26 15:10:39,2018-07-26 15:10:53,13.229s,PASSED
,,,,,,
Test Cases/CustomKeywords/costomkey,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.351s,PASSED
newpakage.hello.prinln,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.007s,PASSED
newpakage.hello.printName,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.003s,PASSED
newpakage.hello.printName,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.001s,PASSED
newpakage.hello.prinln,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.001s,PASSED
newpakage.hello.CalcilateSum,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.001s,PASSED
newpakage.hello.CalcilateSumshobha,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:40,0.002s,PASSED
,,,,,,
Test Cases/CustomKeywords/JenkinsTest,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:53,12.569s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:10:40,2018-07-26 15:10:43,2.758s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:10:43,2018-07-26 15:10:47,4.658s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:10:47,2018-07-26 15:10:48,0.119s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:10:48,2018-07-26 15:10:48,0.265s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:10:48,2018-07-26 15:10:52,4.011s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:10:52,2018-07-26 15:10:53,0.623s,PASSED
